,date,active_energy_kj,exercise_time_min,stand_time_min,basal_energy_burned_kj,resting_heart_rate_count_min,asleep_min_acitvity,min_in_bed_activity,step_count
60,2021-11-30,1674.0,4.0,115.0,8972.0,51.0,489.3861142218112,640.7988141318162,4433.0
61,2021-12-01,1487.0,10.0,62.0,8749.0,47.0,346.1929767668247,412.07634336352345,3823.0
62,2021-12-02,3107.0,23.0,264.0,9297.0,56.0,,,11024.0
63,2021-12-03,3598.0,33.0,372.0,9284.0,49.0,409.70873712102576,469.90872655510907,12739.0
64,2021-12-04,2101.0,6.0,104.0,9227.0,54.0,305.16343344251317,305.16343344251317,4216.0
65,2021-12-05,738.49,,11.0,8468.0,52.0,420.1700040221214,420.1700040221214,837.0
66,2021-12-06,4152.0,32.0,429.0,9193.0,52.0,217.01323286890988,313.2965337534746,17356.0
67,2021-12-07,4088.0,33.0,356.0,9275.0,57.0,,,15982.0
68,2021-12-08,3350.0,32.0,256.0,9151.0,52.0,397.4944988965988,422.5611526767413,11124.0
69,2021-12-09,3145.0,8.0,273.0,9231.0,50.0,529.9027711749077,648.8860750317574,11545.0
70,2021-12-10,5451.0,25.0,581.0,9512.0,59.0,,,27496.0
71,2021-12-11,1788.0,17.0,101.0,8636.0,60.0,,,6900.0
72,2021-12-12,1253.0,6.0,63.0,8518.0,54.0,366.67766929070154,366.67766929070154,2545.0
73,2021-12-13,3372.0,16.0,312.0,8944.0,52.0,189.28183128436407,189.28183128436407,14194.0
74,2021-12-14,2630.0,9.0,212.0,8975.0,49.0,533.5921532034873,652.0881882429126,9246.0
75,2021-12-15,3638.0,22.0,342.0,8985.0,51.0,,,15111.0
76,2021-12-16,2559.0,20.0,159.0,8960.0,50.0,,,7396.0
77,2021-12-17,2335.0,10.0,199.0,8877.0,57.0,,,6292.0
78,2021-12-18,375.79,,16.0,7936.0,52.0,,,935.86
79,2021-12-19,3054.0,40.0,201.0,8781.0,55.0,304.83804074724515,304.83804074724515,11693.0
80,2021-12-20,1069.0,7.0,48.0,8317.0,54.0,425.35983047087984,425.35983047087984,3639.0
81,2021-12-21,1527.0,7.0,70.0,8571.0,51.0,,,3606.0
82,2021-12-22,643.06,1.0,11.0,8167.0,50.0,169.1459682226181,169.1459682226181,1395.0
83,2021-12-23,1882.0,9.0,115.0,8633.0,49.0,349.9276018659274,349.9276018659274,4987.0
84,2021-12-24,2127.0,4.0,110.0,8876.0,56.0,50.31472382545471,50.31472382545471,5531.0
85,2021-12-25,2441.0,10.0,113.0,9113.0,56.0,264.75016624331477,264.75016624331477,4878.0
86,2021-12-26,2448.0,9.0,151.0,8995.0,55.0,555.7308329164982,716.1974694867928,7340.0
87,2021-12-27,1757.0,10.0,39.0,8732.0,50.0,382.65277225176493,382.65277225176493,3581.0
88,2021-12-28,1266.0,3.0,66.0,8339.0,53.0,546.0047489702702,633.734678731362,3497.0
89,2021-12-29,1117.0,4.0,44.0,8369.0,51.0,,,2065.0
90,2021-12-30,2325.0,21.0,142.0,8736.0,51.0,454.69276346365615,485.6927578250568,7066.0
91,2021-12-31,1777.0,2.0,119.0,8708.0,58.0,,,3730.0
92,2022-01-01,3732.0,64.0,180.0,9009.0,55.0,,,11100.0
93,2022-01-02,2301.0,9.0,160.0,8703.0,51.0,435.54078678687415,454.72412638664247,8259.0
94,2022-01-03,2029.0,17.0,119.0,8657.0,53.0,441.1383114675681,441.1383114675681,7615.0
95,2022-01-04,2959.0,17.0,191.0,8651.0,59.0,,,12402.0
96,2022-01-05,1958.0,12.0,124.0,8410.0,55.0,283.1844614446163,394.53425055940943,8611.0
97,2022-01-06,6108.0,155.0,380.0,8887.0,,,,28753.0
98,2022-01-07,7653.0,186.0,489.0,8788.0,47.0,,,37622.0
99,2022-01-08,3933.0,74.0,281.0,8551.0,46.0,235.17765802542365,235.17765802542365,20626.0
100,2022-01-09,3136.0,60.0,203.0,8572.0,,,,14475.0
101,2022-01-10,4248.0,113.0,269.0,8443.0,70.0,,,21333.0
102,2022-01-11,2826.0,50.0,155.0,8573.0,70.0,,,20820.0
103,2022-01-12,1946.0,16.0,101.0,8524.0,51.0,,,6698.0
104,2022-01-13,2972.0,85.0,149.0,8382.0,44.0,430.86769900123284,526.9887498080731,13364.0
105,2022-01-14,762.47,5.0,55.0,8028.0,,,,3529.0
106,2022-01-15,2363.0,23.0,134.0,8466.0,48.5,,,10285.0
107,2022-01-16,2990.0,52.0,173.0,8543.0,,450.38821524779,510.238201268514,14235.0
108,2022-01-17,4416.0,104.0,224.0,8404.0,49.0,,,18839.0
109,2022-01-18,3943.0,65.0,241.0,8731.0,53.0,,,17107.0
110,2022-01-19,2518.0,30.0,150.0,8472.0,48.0,68.91660741567613,0.0,10533.0
111,2022-01-20,1057.0,3.0,39.0,8170.0,50.0,541.9503670414289,723.8972153226534,6530.0
112,2022-01-21,1693.0,16.0,71.0,8312.0,48.0,425.2213131686052,522.054607162873,5737.0
113,2022-01-22,1659.0,16.0,48.0,8471.0,43.0,516.5113610386848,552.1780041933059,3586.0
114,2022-01-23,3379.0,70.0,156.0,8765.0,62.0,,,11665.0
115,2022-01-24,3499.0,82.0,218.0,8475.0,,,,16895.0
116,2022-01-25,2587.0,24.0,109.0,9213.0,43.5,,,7867.0
117,2022-01-26,3772.0,94.0,215.0,8741.0,,116.97997590700784,116.97997590700784,17225.0
118,2022-01-27,4717.0,85.0,329.0,8723.0,55.5,,,24251.0
119,2022-01-28,2890.0,54.0,158.0,8461.0,54.0,,,13381.0
120,2022-01-29,4645.0,108.0,251.0,8748.0,,89.91465093294781,89.91465093294781,19749.0
121,2022-01-30,3614.0,56.0,229.0,8626.0,74.0,,,19083.0
122,2022-01-31,5803.0,116.0,333.0,9111.0,51.5,,,24186.0
123,2022-02-01,2895.0,34.0,184.0,8563.0,45.0,304.8448100189368,304.8448100189368,15144.0
124,2022-02-02,3658.0,51.0,211.0,8816.0,47.0,,,17419.0
125,2022-02-03,3082.0,37.0,192.0,8754.0,39.0,,,13376.0
126,2022-02-04,2131.0,22.0,136.0,8485.0,,315.4318481425444,384.61132039825117,12783.0
127,2022-02-05,2214.0,22.0,136.0,8430.0,65.0,,,10121.0
128,2022-02-06,3243.0,59.0,187.0,8635.0,48.5,,,15635.0
129,2022-02-07,2181.0,16.0,111.0,8497.0,44.0,90.35788717269898,90.35788717269898,9004.0
130,2022-02-08,2052.0,12.0,98.0,8752.0,46.0,,,7126.0
131,2022-02-09,2638.0,23.0,189.0,8675.0,47.0,350.75698694586754,350.75698694586754,10392.0
132,2022-02-10,2008.0,30.0,117.0,8497.0,44.0,,,7368.0
133,2022-02-11,1502.0,1.0,53.0,8652.0,44.0,386.64257254997887,480.09244536161424,2908.0
134,2022-02-12,1467.0,7.0,66.0,8469.0,45.0,369.59835743904114,390.85675079425175,3850.0
135,2022-02-13,2604.0,66.0,134.0,8345.0,42.0,,,12019.0
136,2022-02-14,1400.0,2.0,60.0,8465.0,47.0,542.8843507488568,542.8843507488568,3732.0
137,2022-02-15,1963.0,29.0,90.0,8556.0,,,,5855.0
138,2022-02-16,1261.0,12.0,39.0,8442.0,47.0,35.15659691691399,35.15659691691399,2060.0
139,2022-02-17,1620.0,16.0,33.0,8511.0,44.0,584.0857454697291,428.4383339325587,2114.0
140,2022-02-18,2468.0,26.0,106.0,8555.0,44.0,366.66959012349446,392.0358015576998,7109.0
141,2022-02-19,2083.0,14.0,101.0,8771.0,42.0,483.9624786893527,483.9624786893527,7155.0
142,2022-02-20,1680.0,11.0,68.0,8502.0,39.0,300.5635601937771,389.28094044725106,4866.0
143,2022-02-21,990.98,12.0,30.0,8197.0,39.0,365.5945077598095,487.16635980010034,2151.0
144,2022-02-22,871.52,,8.0,8325.0,39.0,531.8944981177648,680.0408152023952,845.0
145,2022-02-23,1390.0,12.0,29.0,8448.0,43.0,447.2372349838416,472.4206359088421,1904.0
146,2022-02-24,1703.0,23.0,42.0,8458.0,47.0,578.3773118654887,538.756994253397,2312.0
147,2022-02-25,1430.0,18.0,28.4,8179.0,41.0,,,1743.0
148,2022-02-26,1209.0,11.0,49.0,8182.0,39.0,564.6392045398553,371.2383741180102,4309.0
149,2022-02-27,1237.0,7.0,10.0,8436.0,41.0,347.0963262617588,433.84221341411273,1628.0
150,2022-02-28,1196.0,1.0,26.0,8424.0,38.0,486.4722220083078,554.0350405315558,2290.0
151,2022-03-01,2341.0,45.0,112.0,8435.0,38.0,440.2529671589533,440.2529671589533,7755.0
152,2022-03-02,1757.0,6.0,80.0,8615.0,39.0,353.8911856710911,353.8911856710911,4343.0
