,start,end,min_in_bed,sleep_quality,min_awake,min_rem_sleep,min_light_sleep,min_deep_sleep,total_asleep
65,2022-01-15 17:34:28,2022-01-16 00:59:38,445,90,30,102,173,140,415
66,2022-01-16 03:04:15,2022-01-16 03:39:25,35,83,0,0,16,19,35
67,2022-01-19 15:40:04,2022-01-20 00:29:25,529,72,57,53,247,173,472
68,2022-01-20 08:55:26,2022-01-20 11:13:32,138,83,0,39,36,63,138
69,2022-01-20 17:35:35,2022-01-21 01:29:16,474,80,48,92,196,137,426
70,2022-01-21 17:24:02,2022-01-21 23:59:57,396,81,16,89,70,221,380
71,2022-01-22 16:49:33,2022-01-23 01:43:55,534,93,18,139,167,211,516
72,2022-01-26 09:01:58,2022-01-26 10:58:57,117,75,0,45,18,54,117
73,2022-01-29 10:54:01,2022-01-29 12:23:56,90,94,0,12,44,34,90
74,2022-02-01 19:50:06,2022-02-02 00:54:57,305,83,0,55,113,137,305
75,2022-02-03 19:19:59,2022-02-04 01:10:03,350,81,35,72,121,122,315
76,2022-02-07 00:24:59,2022-02-07 01:14:35,50,81,0,0,36,14,50
77,2022-02-07 05:47:40,2022-02-07 06:28:26,41,81,0,0,26,15,41
78,2022-02-07 17:31:13,2022-02-07 23:29:12,358,91,0,91,130,137,358
79,2022-02-09 17:52:47,2022-02-09 23:43:32,351,86,0,62,138,151,351
80,2022-02-10 17:39:46,2022-02-11 00:53:11,433,80,47,74,160,153,386
81,2022-02-11 20:52:41,2022-02-12 03:12:56,380,89,11,64,162,144,369
82,2022-02-13 19:22:00,2022-02-13 22:57:29,215,64,0,45,79,91,215
83,2022-02-14 03:24:48,2022-02-14 06:22:40,178,89,0,45,73,60,178
84,2022-02-14 12:21:54,2022-02-14 12:56:39,35,80,0,0,10,25,35
85,2022-02-14 13:01:59,2022-02-14 14:56:47,115,88,0,26,41,48,115
86,2022-02-16 11:06:47,2022-02-16 11:41:56,35,81,0,0,11,24,35
87,2022-02-16 21:51:36,2022-02-17 03:57:21,366,86,31,85,133,116,335
88,2022-02-17 11:18:25,2022-02-17 11:56:35,38,80,0,0,29,9,38
89,2022-02-17 18:52:57,2022-02-18 01:12:19,379,83,13,45,178,144,366
90,2022-02-18 17:52:03,2022-02-18 23:27:25,335,89,0,104,114,117,335
91,2022-02-19 11:36:38,2022-02-19 12:57:47,81,83,0,30,22,29,81
92,2022-02-19 13:06:48,2022-02-19 14:14:15,67,86,0,0,25,42,67
93,2022-02-19 19:32:12,2022-02-20 01:17:09,345,77,44,60,104,137,301
94,2022-02-20 18:21:52,2022-02-21 01:28:16,426,83,61,74,172,120,365
95,2022-02-21 17:07:06,2022-02-22 03:13:08,606,83,74,109,223,200,532
96,2022-02-22 18:06:28,2022-02-23 00:53:44,407,90,13,73,169,153,394
97,2022-02-23 10:06:48,2022-02-23 10:44:38,38,81,0,0,24,14,38
98,2022-02-23 21:52:14,2022-02-24 04:28:29,396,70,71,65,147,113,325
99,2022-02-25 20:03:55,2022-02-26 01:44:07,340,83,16,67,106,152,324
100,2022-02-26 19:39:08,2022-02-27 02:09:38,391,80,43,75,166,106,348
101,2022-02-27 16:49:32,2022-02-27 23:51:15,422,85,14,49,171,188,408
102,2022-02-28 14:49:14,2022-02-28 23:29:31,520,88,34,93,188,205,486
103,2022-03-01 16:39:07,2022-03-01 23:59:22,440,89,0,81,129,230,440
104,2022-03-02 18:05:16,2022-03-02 23:59:10,354,85,0,64,115,175,354
105,2022-03-03 18:23:43,2022-03-04 05:01:42,638,64,214,103,217,104,424
106,2022-03-04 19:10:07,2022-03-05 00:55:56,346,86,0,61,150,135,346
107,2022-03-06 20:09:31,2022-03-07 05:09:03,540,75,72,77,218,172,468
108,2022-03-07 12:25:27,2022-03-07 12:58:43,33,81,0,0,10,23,33
109,2022-03-08 11:24:15,2022-03-08 12:29:00,65,65,15,0,40,10,50
110,2022-03-08 17:52:19,2022-03-08 22:32:40,280,57,16,27,117,121,264
111,2022-03-09 15:39:19,2022-03-10 03:44:38,725,75,106,102,247,271,619
112,2022-03-10 18:09:27,2022-03-10 23:39:49,330,70,24,16,131,160,306
113,2022-03-11 03:05:14,2022-03-11 04:29:54,85,73,15,0,43,26,70
114,2022-03-11 17:49:23,2022-03-12 00:44:36,415,72,82,67,157,109,333
115,2022-03-12 13:06:01,2022-03-12 13:44:56,39,81,0,0,27,12,39
116,2022-03-12 18:24:20,2022-03-13 02:29:27,485,73,84,67,219,115,401
117,2022-03-13 19:24:57,2022-03-14 02:43:38,439,79,28,54,218,138,411
118,2022-03-14 14:48:40,2022-03-14 23:37:46,529,73,115,92,146,176,414
119,2022-03-15 18:23:56,2022-03-16 02:42:43,499,74,63,58,206,171,436
120,2022-03-16 21:35:42,2022-03-17 03:40:34,365,77,9,20,170,165,356
121,2022-03-17 17:19:51,2022-03-18 02:41:02,561,70,113,83,198,167,448
122,2022-03-18 20:39:35,2022-03-19 03:54:36,435,89,13,74,162,186,422
123,2022-03-19 17:50:09,2022-03-20 04:10:54,621,84,56,79,234,251,565
124,2022-03-20 20:50:22,2022-03-21 05:10:58,501,80,49,47,212,193,452
125,2022-03-21 20:09:36,2022-03-22 02:58:44,409,79,25,45,217,122,384
126,2022-03-22 18:54:58,2022-03-23 03:59:00,544,86,38,85,211,210,506
127,2022-03-23 18:39:13,2022-03-24 04:13:09,574,89,43,101,220,210,531
128,2022-03-24 20:24:39,2022-03-25 03:14:51,410,90,16,74,155,165,394
129,2022-03-25 17:49:14,2022-03-26 00:00:22,371,84,26,64,135,146,345
130,2022-03-26 20:23:59,2022-03-27 04:29:52,486,86,44,104,173,165,442
131,2022-03-28 19:04:24,2022-03-29 01:28:56,385,93,0,83,154,148,385
132,2022-03-29 20:11:04,2022-03-30 01:28:49,318,37,86,43,116,72,232
133,2022-03-30 21:24:03,2022-03-31 03:58:07,394,90,20,100,133,141,374
134,2022-03-31 21:50:03,2022-03-31 23:24:03,94,54,34,0,52,8,60
135,2022-04-03 21:20:16,2022-04-04 04:58:42,458,72,57,60,198,143,401
136,2022-04-04 14:39:30,2022-04-04 17:59:13,200,64,0,45,83,72,200
137,2022-04-04 19:02:34,2022-04-05 04:24:31,562,78,88,120,154,200,474
138,2022-04-05 12:34:46,2022-04-05 14:09:15,94,88,0,30,35,29,94
139,2022-04-05 21:51:04,2022-04-06 04:53:49,423,84,28,66,141,188,395
140,2022-04-06 14:25:02,2022-04-06 17:13:49,169,81,10,39,56,64,159
141,2022-04-07 12:08:56,2022-04-07 13:44:14,95,79,0,41,22,32,95
142,2022-04-07 22:39:40,2022-04-08 04:58:44,379,93,0,87,156,136,379
143,2022-04-08 22:19:41,2022-04-09 04:14:26,355,81,30,77,110,138,325
144,2022-04-09 10:22:33,2022-04-09 12:42:26,140,73,0,62,15,63,140
145,2022-04-09 18:36:52,2022-04-10 03:01:29,505,83,46,80,206,173,459
146,2022-04-10 21:09:59,2022-04-11 04:38:55,449,85,31,75,167,176,418
147,2022-04-11 20:33:55,2022-04-12 05:14:40,521,90,26,103,176,215,495
148,2022-04-13 19:18:53,2022-04-14 05:29:45,611,85,88,113,175,235,523
149,2022-04-14 22:38:18,2022-04-15 09:52:24,674,85,87,124,257,206,587
150,2022-04-15 16:20:44,2022-04-15 17:39:23,79,59,27,0,36,15,52
151,2022-04-15 22:23:58,2022-04-16 04:19:58,356,91,0,92,131,133,356
152,2022-04-16 23:33:20,2022-04-17 06:44:33,431,89,30,104,157,140,401
153,2022-04-18 23:20:56,2022-04-19 05:28:33,368,88,0,61,143,164,368
154,2022-04-19 14:57:55,2022-04-19 16:59:42,122,84,0,29,34,59,122
155,2022-04-19 22:08:44,2022-04-20 00:29:13,140,86,11,29,53,47,129
156,2022-04-20 21:19:57,2022-04-21 05:28:40,489,88,16,75,204,194,473
157,2022-04-21 19:53:16,2022-04-22 05:29:12,576,84,62,129,184,201,514
158,2022-04-22 22:39:28,2022-04-23 04:23:15,344,86,0,60,135,149,344
159,2022-04-23 18:38:35,2022-04-24 03:24:09,526,90,29,117,174,206,497
160,2022-04-24 05:34:30,2022-04-24 07:29:17,115,88,0,27,39,49,115
161,2022-04-24 19:38:18,2022-04-25 04:48:35,550,91,15,101,238,196,535
162,2022-04-28 22:08:23,2022-04-29 05:29:57,442,91,0,106,135,201,442
163,2022-04-29 22:33:23,2022-04-30 04:59:42,386,90,0,74,138,174,386
